"scenario","time","true_state","observed_state","prediction_before_update","twin_state","residual","anomaly_flag","intervention_flag"
"baseline_twin",1,50,52.467725204864,52.467725204864,52.467725204864,0,0,0
"baseline_twin",2,47.1860655170664,47.8396966574736,49.8692233645248,49.1588890170569,-2.02952670705124,0,0
"baseline_twin",3,45.2435903980778,45.9712733797316,46.7380551600922,46.469681536966,-0.766781780360567,0,0
"baseline_twin",4,42.9668153730385,45.6875549684286,44.1952766646371,44.7175740709641,1.49227830379144,0,0
"baseline_twin",5,40.8223863658729,44.4555490508515,42.5424025519501,43.2120038265656,1.91314649890144,0,0
"baseline_twin",6,38.8155524189384,41.1643177965407,41.1233174660279,41.1376675817074,0.0410003305127233,0,0
"baseline_twin",7,38.3293833979952,35.829434135993,39.1634055670051,37.9965155661508,-3.3339714310121,0,0
"baseline_twin",8,36.3383964384655,36.0984180329569,36.1894452583037,36.1575857294323,-0.0910272253468847,0,0
"baseline_twin",9,35.0052926693877,34.4936374108388,34.4519522569642,34.4665420608203,0.0416851538745746,0,0
"baseline_twin",10,31.7721813113549,27.3793408399189,32.8542414857587,30.9380262597148,-5.47490064583977,1,0
"baseline_twin",11,31.0946769237126,30.5427274543713,29.5101616172164,29.8715596602206,1.03256583715494,0,0
"baseline_twin",12,28.5973786648601,28.2879274244928,28.5042023249308,28.4285061097775,-0.216274900437952,0,0
"baseline_twin",13,28.028843150935,31.4401913812119,26.1396094041029,27.644813096091,4.30058197710902,1,1
"baseline_twin",14,26.5070362613125,26.0439513723285,26.4004891881745,26.2757009526284,-0.356537815846071,0,0
"baseline_twin",15,24.2661342900334,25.0943095287297,25.1042635979003,25.1007796736906,-0.00995406917065367,0,0
"baseline_twin",16,22.8146213351601,23.6344315569943,23.9915313752106,23.8665464388349,-0.357099818216227,0,0
"baseline_twin",17,22.2450144986956,24.1082008382415,22.8214409448493,23.2718069075366,1.28675989339214,0,0
"baseline_twin",18,20.9170321965071,21.8259514184435,22.2578408101504,22.106679523053,-0.431889391706896,0,0
"baseline_twin",19,18.9909635911522,17.5789373760691,21.1513337588147,19.9009950248538,-3.57239638274563,1,0
