"scenario","final_adoption_share","final_adopter_count","maximum_adoption_gap","final_adoption_gap","time_to_25_percent","time_to_50_percent","peak_growth","seed_efficiency"
"baseline_diffusion",0.15,18,0.35,0.35,NA,NA,0.0416666666666667,0.025
"high_social_influence",0.075,9,0.125,0.125,NA,NA,0.0166666666666667,0.0125
"high_cost_barrier",0.0666666666666667,8,0.1,0.1,NA,NA,0.0166666666666667,0.0111111111111111
"targeted_seeding",0.141666666666667,17,0.275,0.275,NA,NA,0.0416666666666667,0.0236111111111111
"network_fragmentation",0.0833333333333333,10,0.075,0.075,NA,NA,0.0166666666666667,0.0138888888888889
"trust_and_resistance",0.075,9,0.075,0.075,NA,NA,0.0166666666666667,0.0125
"bridge_and_equity_seeding",0.158333333333333,19,0.2,0.2,NA,NA,0.0666666666666667,0.0197916666666667
