run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
140,0.097932,0.055633,65.937762,5,101.928442,80.106380,0.084013,-5.741339,15.000000,84.951112,84.564505,40,2.495015,1.057768,127
141,0.095755,0.088483,61.623529,2,103.707455,84.775576,0.062626,-6.571648,15.000000,80.885847,80.885847,160,2.482578,1.704389,0
142,0.085537,0.046246,68.814398,8,87.453662,83.212743,0.098129,-5.836508,15.000000,81.112853,80.560425,54,1.869826,0.568752,0
143,0.083179,0.038548,45.229174,10,80.166038,84.439221,0.036557,-12.310713,15.000000,68.822090,67.785166,48,1.667017,0.909448,0
144,0.127735,0.032034,65.963686,4,75.978096,66.984236,0.081598,-14.465767,15.000000,71.466792,71.466721,123,2.425832,0.176284,126
145,0.076866,0.036969,62.752696,8,80.008041,67.475630,0.080852,-15.406454,15.000000,71.498905,71.138872,116,1.537240,0.323339,107
146,0.072891,0.058785,64.284092,12,91.893246,80.697300,0.080471,-6.269688,15.000000,81.690892,78.445215,55,1.674390,1.023261,12
147,0.060592,0.078566,67.363095,11,77.150275,69.338765,0.075889,-4.809833,15.000000,71.720747,70.685786,70,1.168580,0.342363,88
148,0.125348,0.072500,68.807482,11,67.878651,72.576291,0.061732,-4.519803,15.000000,67.878177,67.878177,160,2.126620,0.000000,0
149,0.065072,0.044382,68.213231,10,77.169649,85.001054,0.089991,-10.974206,15.000000,73.875679,73.411198,75,1.255390,0.251309,0
150,0.094117,0.054135,63.464261,10,98.946181,87.458112,0.093893,-6.073835,15.000000,87.647858,84.696184,45,2.327434,1.309170,4
151,0.075082,0.086047,52.327148,2,102.345699,66.245269,0.090012,-9.680114,15.000000,69.026336,69.026336,160,1.920985,1.436913,118
152,0.109715,0.022721,60.316446,5,77.444810,94.841738,0.071850,-12.856883,15.000000,74.407273,74.407273,160,2.123852,0.320159,0
153,0.126818,0.083876,69.459996,6,75.196432,92.731822,0.076379,-11.045229,15.000000,73.368427,72.869265,42,2.383734,0.327824,0
154,0.124004,0.049925,63.057200,11,81.597246,70.708390,0.053523,-11.805122,15.000000,76.469327,74.644488,37,2.528828,0.669604,125
155,0.064392,0.042931,56.888495,5,102.952361,82.023677,0.062516,-9.341160,15.000000,81.953896,81.953896,160,1.657265,1.075971,0
156,0.105757,0.083055,66.907194,6,105.277534,67.183129,0.098535,-15.652507,15.000000,80.402568,78.644352,33,2.782589,1.120864,135
157,0.126723,0.031057,64.789104,6,80.017294,82.810415,0.039552,-4.357151,15.000000,76.932123,76.923728,51,2.534701,0.377131,0
158,0.095861,0.056302,65.393936,13,102.461860,79.302649,0.056192,-8.351122,15.000000,89.250797,84.850895,43,2.455143,1.343190,125
159,0.116546,0.054002,63.258815,2,90.167830,71.868956,0.101024,-4.788081,15.000000,77.210793,77.210793,160,2.627029,0.753438,135
160,0.111302,0.020940,57.383073,11,106.827044,91.908297,0.036177,-6.337215,15.000000,97.484245,96.860474,45,2.971372,0.839708,125
161,0.087589,0.088563,50.071731,5,103.204031,91.490398,0.075301,-13.537291,15.000000,72.916978,71.713145,37,2.259113,2.023248,0
162,0.074102,0.082194,50.464485,13,71.983316,74.226848,0.084708,-5.608896,15.000000,64.176315,59.731539,49,1.333435,1.127031,0
163,0.122210,0.024061,56.563749,7,101.805670,71.956382,0.054060,-8.172307,15.000000,87.070734,87.004135,42,3.109458,0.734022,139
164,0.065114,0.080038,54.849353,14,70.715486,94.740513,0.089443,-13.685771,15.000000,64.859586,60.244810,127,1.150985,0.801194,0
165,0.102380,0.046533,65.266038,7,99.498969,91.051934,0.049945,-11.285977,15.000000,88.432541,87.866875,45,2.546343,1.078016,0
166,0.071673,0.069248,58.126275,5,104.825580,68.133401,0.064431,-15.993323,15.000000,75.067014,74.504121,44,1.878035,1.173121,118
167,0.128566,0.026021,54.651880,6,91.789079,88.473252,0.069559,-6.259059,15.000000,85.136984,85.136984,160,2.950249,0.793256,0
168,0.129893,0.074876,59.045730,13,66.114233,87.370496,0.048584,-6.627989,15.000000,65.080748,63.573384,41,2.145633,0.451880,0
169,0.110535,0.052844,59.565271,10,92.625476,77.670987,0.042901,-14.265114,15.000000,82.837069,80.154635,38,2.559343,1.229779,117
170,0.112645,0.081565,63.959925,14,75.251101,74.316485,0.082810,-13.966310,15.000000,73.261862,70.621060,45,2.117927,0.758713,0
171,0.060150,0.059134,55.514152,5,79.417486,68.494461,0.040479,-6.826194,15.000000,66.516067,66.509708,73,1.193990,0.650586,0
172,0.089635,0.021260,61.961382,9,99.162946,92.723952,0.040342,-6.903239,15.000000,91.563319,91.559796,78,2.221330,0.629350,0
173,0.061556,0.081178,59.013594,6,82.732355,85.270925,0.087090,-6.553312,15.000000,68.994377,68.132140,56,1.273091,0.810216,0
174,0.082462,0.026914,45.481207,14,103.135529,69.185667,0.064529,-7.925675,15.000000,81.106232,78.914057,45,2.126078,0.958796,130
175,0.096338,0.024122,56.488254,11,85.525213,67.828678,0.084564,-12.281158,15.000000,74.794825,74.092025,43,2.059266,0.441588,124
176,0.111524,0.086805,47.429960,11,66.424479,84.570131,0.045907,-13.703437,15.000000,61.377635,57.840920,35,1.851682,1.210733,0
177,0.111320,0.082858,51.642916,8,76.839990,78.667818,0.066714,-5.875861,15.000000,68.100833,65.043262,34,2.138444,1.363666,0
178,0.126967,0.081046,58.207601,9,87.097767,83.601830,0.040573,-10.452578,15.000000,79.141701,74.765610,33,2.763264,1.696635,0
179,0.082130,0.029353,56.002417,5,100.559168,89.259640,0.025165,-8.387094,15.000000,87.593675,87.593675,160,2.063991,0.927216,0
180,0.101522,0.088163,59.959388,3,95.185387,88.310281,0.097491,-4.444341,15.000000,76.942353,76.941299,51,2.415670,1.497261,0
181,0.116813,0.067856,69.637613,11,78.341793,85.171354,0.043662,-9.067197,15.000000,76.512216,75.104348,45,2.286420,0.466486,0
182,0.120475,0.058791,64.276861,5,69.647679,73.602380,0.035098,-4.865597,15.000000,67.942587,67.855293,46,2.097668,0.215513,0
183,0.082430,0.087734,68.147984,10,80.904610,94.930528,0.044453,-15.687516,15.000000,76.235180,74.304766,54,1.667113,0.709519,0
184,0.061588,0.037998,47.679561,4,109.766066,81.576781,0.103406,-7.374927,15.000000,81.583591,81.583591,160,1.689925,1.287922,4
185,0.107495,0.074334,58.012132,6,109.731064,79.369089,0.042802,-5.102854,15.000000,86.045968,83.927397,34,2.946954,2.083862,132
186,0.087052,0.058292,69.909561,14,97.635624,71.915189,0.074475,-14.889224,15.000000,83.249173,80.471900,47,2.124814,0.777589,123
187,0.129704,0.034788,69.386379,13,106.671707,91.712220,0.069807,-15.855378,15.000000,98.834333,96.105763,37,3.457436,1.024431,123
188,0.123477,0.047866,60.896899,4,105.570922,79.165636,0.089791,-7.962664,15.000000,86.761049,86.709317,36,3.258832,1.238000,136
189,0.088764,0.052420,59.395986,12,82.190456,77.230509,0.037590,-11.698273,15.000000,75.754852,73.089282,48,1.823801,0.857527,0
190,0.119914,0.070186,55.704263,14,81.014852,87.072434,0.033459,-8.917890,15.000000,76.530061,70.998493,37,2.427394,1.461672,0
191,0.078713,0.047542,51.048614,2,68.886309,71.844933,0.099105,-15.740400,15.000000,61.699675,61.699675,160,1.355162,0.506335,0
192,0.083413,0.032908,46.911486,14,71.184803,88.838509,0.041215,-11.528579,15.000000,65.402112,63.690410,51,1.484423,0.608481,0
193,0.089740,0.040348,63.735501,7,66.874057,65.271850,0.053718,-4.789035,15.000000,65.768005,65.706918,63,1.500317,0.082008,89
194,0.073817,0.036459,56.002076,3,103.125447,84.027540,0.087272,-12.025562,15.000000,84.770729,84.770729,160,1.902809,1.048880,78
