scenario,minimum_state,maximum_state,final_state,maximum_overshoot,time_to_peak,threshold_active_periods,maximum_balancing_outflow
baseline_delayed_feedback,12.000000,250.000000,250.000000,238.000000,54,135,12.000000
short_delay,12.000000,250.000000,250.000000,238.000000,70,135,12.000000
long_delay,12.000000,250.000000,250.000000,238.000000,44,135,12.000000
weak_balancing,12.000000,250.000000,250.000000,238.000000,46,135,6.000000
strong_threshold_response,12.000000,164.757312,163.332337,152.757312,56,135,6.885439
higher_growth,12.000000,250.000000,250.000000,238.000000,34,141,12.000000
